x,y,P(y|x),P(x|y),RR(y|x),RR(x|y),OR,xy0,x1y0,y1x0,xy1
qn25,qn24,0.6254,0.517,5.7924,7.1787,13.7924,80842.2746,6274.1269,9784.5809,10473.6495
qn29,qn27,0.8818,0.4167,7.9709,35.4024,59.976,123623.8519,1472.3248,15377.4091,10984.0353
qn29,qn28,0.7666,0.4408,8.8951,19.9133,34.8219,125689.276,2845.2031,11853.1868,9343.3546
qn35,qn31,0.475,0.8381,7.536,3.0159,13.4497,39477.8965,15192.1824,2655.7578,13745.6791
qn42,qn31,0.6445,0.6214,3.0631,3.1971,6.804,75091.2517,18117.7598,20010.8034,32850.4379
qn42,qn35,0.7602,0.5186,2.9565,4.9275,9.1583,39853.8904,4687.8493,13793.7694,14859.4281
qn46,qn31,0.698,0.6867,3.8079,3.9126,10.2966,79080.5133,16833.8267,17748.3525,38901.3036
qn46,qn35,0.8169,0.6682,4.0324,6.4954,17.5641,38358.5735,4398.8134,9745.3819,19629.0216
qn46,qn42,0.6483,0.6642,3.5825,3.4656,8.3419,79093.8803,18751.5874,17473.7954,34558.0954
qn48,qn35,0.8595,0.401,2.8868,9.0465,14.4338,44125.2351,2046.7686,18709.0332,12526.0618
qn48,qn42,0.7622,0.4387,3.182,6.1495,10.1748,94743.2657,7278.7123,29840.8266,23326.251
qn52,qn50,0.838,0.3122,21.8412,89.4757,129.6412,151493.9804,530.4951,6044.3297,2743.957
qn53,qn50,0.7084,0.4608,23.0714,41.81,76.6919,150453.689,1676.8168,4765.9905,4073.6646
qn53,qn52,0.4479,0.7593,83.8737,37.1341,151.1036,156389.6401,3264.4087,839.6126,2648.1964
qn54,qn50,0.5493,0.5447,20.9033,21.1059,45.1643,147433.7569,3906.1127,3979.1023,4761.333
qn54,qn52,0.292,0.767,55.0499,18.7857,77.3466,150567.3578,6409.5133,803.0376,2644.0594
qn54,qn53,0.3953,0.6116,26.3335,17.2692,42.8917,149600.2706,5493.0644,2279.694,3590.3126
qn56,qn31,0.602,0.6775,2.8937,2.5344,5.7581,65694.0566,23969.3951,17256.9628,36255.8357
qn56,qn35,0.678,0.5933,2.6249,3.0523,6.0468,33187.4489,8008.2463,11558.4069,16864.9802
qn56,qn46,0.6336,0.7125,3.4616,2.9316,7.7187,69858.6821,22430.3092,15652.4104,38791.6443
qnhallucdrug,qn50,0.4607,0.6173,20.1914,14.618,36.5846,126829.887,5592.0884,2961.2869,4776.732
qnhallucdrug,qn53,0.3304,0.6872,27.1266,13.2041,40.0154,128401.4812,7049.4078,1582.9706,3477.6262
qnhallucdrug,qn54,0.4953,0.6719,25.2902,16.7893,49.1253,127481.5042,5314.5243,2546.4016,5214.938
